bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Abolição,AVN DOM HELDER CAMARA,"AVN DOM HELDER CAMARA, Abolição, Rio de Janeiro, RJ, Brasil",,,não encontrado
Abolição,RUA BRAULIO MUNIZ,"RUA BRAULIO MUNIZ, Abolição, Rio de Janeiro, RJ, Brasil",-22.8879237,-43.2990734,ok
Abolição,RUA CANTILDA MACIEL,"RUA CANTILDA MACIEL, Abolição, Rio de Janeiro, RJ, Brasil",-22.8859762,-43.2991091,ok
Abolição,RUA CARLOS DE OLIVEIRA,"RUA CARLOS DE OLIVEIRA, Abolição, Rio de Janeiro, RJ, Brasil",-22.8863867,-43.3001282,ok
Abolição,RUA DA ABOLICAO,"RUA DA ABOLICAO, Abolição, Rio de Janeiro, RJ, Brasil",-22.8894442,-43.2948794,ok
Abolição,RUA ENGEN NAZARE,"RUA ENGEN NAZARE, Abolição, Rio de Janeiro, RJ, Brasil",,,não encontrado
Abolição,RUA LUIZ SILVA,"RUA LUIZ SILVA, Abolição, Rio de Janeiro, RJ, Brasil",,,não encontrado
Abolição,RUA MACEDO BRAGA,"RUA MACEDO BRAGA, Abolição, Rio de Janeiro, RJ, Brasil",-22.8873102,-43.3003212,ok
Abolição,RUA MARIO CARPENTER,"RUA MARIO CARPENTER, Abolição, Rio de Janeiro, RJ, Brasil",-22.8889012,-43.2987402,ok
Abolição,RUA MORAIS MACEDO,"RUA MORAIS MACEDO, Abolição, Rio de Janeiro, RJ, Brasil",-22.8866016,-43.3007949,ok
Abolição,RUA MOREIRA,"RUA MOREIRA, Abolição, Rio de Janeiro, RJ, Brasil",-22.8818574,-43.3009513,ok
Abolição,RUA PAQUEQUER,"RUA PAQUEQUER, Abolição, Rio de Janeiro, RJ, Brasil",-22.8806262,-43.3019144,ok
Abolição,RUA SILVA XAVIER,"RUA SILVA XAVIER, Abolição, Rio de Janeiro, RJ, Brasil",-22.8829259,-43.3017722,ok
